"Kjøpsdato";"Posteringsdato";"Beskrivelse";"Beløp"
"2023-10-11";"2023-10-13";"KIWI 803 KRONST, Bergen, NOR";"-74,31"
"2023-10-10";"2023-10-12";"KIWI 803 KRONST, Bergen, NOR";"-164,66"
"2023-10-09";"2023-10-11";"KIWI 803 KRONST, Bergen, NOR";"-47,50"
"2023-10-07";"2023-10-09";"KIWI 803 KRONST, Bergen, NOR";"-381,00"
"2023-10-06";"2023-10-09";"Vipps*Anders Torbjoern, Oslo, NOR";"-4000,00"
"2023-10-06";"2023-10-09";"PlayStation Network, Hilversum, NLD";"-580,00"
"2023-10-03";"2023-10-05";"KIWI 803 KRONST, Bergen, NOR";"-467,38"
"2023-10-02";"2023-10-02";"Omkostninger Penger tilbake";"-10,00"
"2023-09-14";"2023-09-15";"Innbetaling";"6982,50"
"2023-09-01";"2023-09-01";"Renter";"-7,61"
"2023-09-01";"2023-09-01";"Omkostninger Penger tilbake";"-10,00"
"2023-08-29";"2023-08-31";"KIWI 803 KRONST, Bergen, NOR";"-112,54"
"2023-08-24";"2023-08-28";"KIWI 803 KRONST, Bergen, NOR";"-347,22"
"2023-08-22";"2023-08-23";"AKADEMIKA HVL, BERGEN, NOR";"-135,00"
"2023-08-20";"2023-08-21";"WEBHUSET AS, Bergen, NOR";"-1067,50"
"2023-08-18";"2023-08-18";"Vipps*Anders Torbjoern, Oslo, NOR";"-4000,00"
"2023-08-15";"2023-08-16";"Ryde Technology AS, Oslo, NOR";"-23,40"
"2023-08-08";"2023-08-09";"Innbetaling";"8747,18"
"2023-08-03";"2023-08-04";"Overføring fra kredittkort til konto 4580.13.49386";"-173,00"
"2023-08-04";"2023-08-04";"Omkostninger kontantoverføring";"-26,73"
"2023-08-02";"2023-08-03";"Vipps*Stian Skaar, Oslo, NOR";"-89,00"
"2023-08-02";"2023-08-02";"Høgskulen På Vestlandet";"-790,00"
"2023-08-02";"2023-08-02";"Omkostninger regningsbetaling";"-32,90"
"2023-08-01";"2023-08-03";"KIWI 846 MEIERI, OErsta, NOR";"-167,60"
"2023-08-01";"2023-08-01";"Renter";"-18,48"
"2023-08-01";"2023-08-01";"Omkostninger Penger tilbake";"-10,00"
"2023-07-30";"2023-07-31";"Vipps*Stian Skaar, Oslo, NOR";"-97,00"
"2023-07-28";"2023-07-31";"KIWI 846 MEIERI, OErsta, NOR";"-400,41"
"2023-07-27";"2023-07-27";"Vipps*Hakon Mydland, Oslo, NOR";"-2000,00"
"2023-07-14";"2023-07-17";"Vipps*Malin Torbjoerns, Oslo, NOR";"-83,00"
"2023-07-14";"2023-07-17";"Innbetaling";"1300,70"
"2023-07-10";"2023-07-11";"DET LILLE NAPOL, ?RSTA, NOR";"-410,00"
"2023-07-10";"2023-07-11";"Vipps*Stian Skaar, Oslo, NOR";"-84,00"
"2023-07-09";"2023-07-12";"BUNNPRIS ?RSTA, OErsta, NOR";"-42,80"
"2023-07-08";"2023-07-10";"KIWI 846 MEIERI, OErsta, NOR";"-323,50"
"2023-07-07";"2023-07-10";"KIWI 846 MEIERI, OErsta, NOR";"-121,93"
"2023-07-06";"2023-07-10";"Wideroe 7014560934439, Bodo, NOR";"-319,00"
"2023-07-06";"2023-07-10";"Wideroe 7012131744732, Bodo, NOR";"-1348,00"
"2023-07-06";"2023-07-10";"KIWI 846 MEIERI, OErsta, NOR";"-987,06"
"2023-07-03";"2023-07-04";"Vipps*Skyss Mobillett, Oslo, NOR";"-24,00"
"2023-07-03";"2023-07-04";"Vipps*VY App, Oslo, NOR";"-643,00"
"2023-07-03";"2023-07-03";"Omkostninger Penger tilbake";"-10,00"
"2023-07-01";"2023-07-03";"PALMESUS, KRISTIANSAND, NOR";"-572,00"
"2023-06-29";"2023-06-30";"VINMONOPOLET K., KRISTIANSAND., NOR";"-762,80"
"2023-06-20";"2023-06-20";"Ryde Technology AS, Oslo, NOR";"-25,90"
"2023-06-19";"2023-06-19";"Vipps*Skyss Mobillett, Oslo, NOR";"-24,00"
"2023-06-14";"2023-06-15";"Vipps*Hakon Mydland, Oslo, NOR";"-407,00"
"2023-06-14";"2023-06-15";"Vipps*Hakon Mydland, Oslo, NOR";"-370,00"
"2023-06-14";"2023-06-16";"Wideroe 7012131670779, Bodo, NOR";"-598,00"
"2023-06-12";"2023-06-12";"Innbetaling";"9280,76"
"2023-06-11";"2023-06-12";"Vipps*Skyss Mobillett, Oslo, NOR";"-24,00"
"2023-06-11";"2023-06-12";"Vipps*Skyss Mobillett, Oslo, NOR";"-24,00"
"2023-06-09";"2023-06-12";"SIBKAFE HIBKRON, BERGEN, NOR";"-69,00"
"2023-06-04";"2023-06-05";"IBSEN RESTAURANT & BAR, BERGEN, NOR";"-249,00"
"2023-06-01";"2023-06-01";"Omkostninger Penger tilbake";"-10,00"
"2023-05-24";"2023-05-24";"Ryde Technology AS, Oslo, NOR";"-20,90"
"2023-05-19";"2023-05-19";"SEB Kort";"-7346,00"
"2023-05-19";"2023-05-19";"Omkostninger regningsbetaling";"-98,46"
"2023-05-17";"2023-05-19";"BURGER KIN 5003, BERGEN, NOR";"-193,00"
"2023-05-16";"2023-05-19";"KIWI 803 KRONST, Bergen, NOR";"-1560,82"
"2023-05-12";"2023-05-15";"Innbetaling";"6939,68"
