Dato;Bokført;Spesifikasjon;Sted;"Valuta
";Utl. beløp;Beløp
04-10;06-10;KIWI 803 KRONST;BERGEN;;0,00;151,90
04-10;05-10;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;375,94
03-10;04-10;SIBKAFE HIBKRON;BERGEN;;0,00;71,00
03-10;03-10;VIPPS*EILI SYNNOEVE ST;OSLO;;0,00;70,00
02-10;02-10;VIPPS*FUTURE LEADERS;OSLO;;0,00;2 500,00
30-09;02-10;KIWI 803 KRONST;BERGEN;;0,00;269,50
29-09;02-10;KIWI 803 KRONST;BERGEN;;0,00;334,20
28-09;02-10;KIWI 803 KRONST;BERGEN;;0,00;40,30
27-09;29-09;KIWI 803 KRONST;BERGEN;;0,00;137,75
25-09;27-09;KIWI 803 KRONST;BERGEN;;0,00;94,40
25-09;26-09;LEI*NORGELEI;TALLINN;;0,00;675,00
25-09;25-09;VIPPS*HAKON MYDLAND;OSLO;;0,00;195,00
24-09;25-09;NO STRESS;BERGEN;;0,00;198,00
24-09;25-09;NO STRESS;BERGEN;;0,00;169,00
24-09;25-09;TORGET 7 SERVER;BERGEN;;0,00;165,00
23-09;25-09;JADA ROOFGARDEN;BERGEN;;0,00;240,00
23-09;25-09;JADA ROOFGARDEN;BERGEN;;0,00;160,00
22-09;25-09;SIBKAFE HIBKRON;BERGEN;;0,00;25,00
21-09;25-09;KIWI 803 KRONST;BERGEN;;0,00;660,40
21-09;22-09;COCA-COLA ENTERPRISES;LORENSKOG;;0,00;30,00
20-09;22-09;KIWI 803 KRONST;BERGEN;;0,00;69,20
19-09;21-09;KIWI 803 KRONST;BERGEN;;0,00;126,89
18-09;19-09;COCA-COLA ENTERPRISES;LORENSKOG;;0,00;30,00
16-09;18-09;KIWI 803 KRONST;BERGEN;;0,00;186,80
16-09;18-09;KIWI 803 KRONST;BERGEN;;0,00;103,10
15-09;18-09;KIWI 803 KRONST;BERGEN;;0,00;421,02
14-09;18-09;SIBKAFE HIBKRON;BERGEN;;0,00;63,20
13-09;15-09;KIWI 803 KRONST;BERGEN;;0,00;270,90
13-09;14-09;SIBKAFE HIBKRON;BERGEN;;0,00;45,00
13-09;13-09;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
12-09;14-09;KIWI 803 KRONST;BERGEN;;0,00;276,00
12-09;13-09;SIBKAFE HIBKRON;BERGEN;;0,00;63,20
11-09;13-09;KIWI 803 KRONST;BERGEN;;0,00;44,22
10-09;11-09;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;73,20
08-09;11-09;KRONBAR;BERGEN;;0,00;60,00
08-09;11-09;OLE B SCENE 1;BERGEN;;0,00;155,00
08-09;11-09;KIWI 803 KRONST;BERGEN;;0,00;306,60
07-09;08-09;SIBKAFE HIBKRON;BERGEN;;0,00;71,00
06-09;08-09;KIWI 803 KRONST;BERGEN;;0,00;95,02
04-09;06-09;KIWI 803 KRONST;BERGEN;;0,00;49,00
04-09;05-09;LUFTFARTSTILSYN;BODOE;;0,00;220,00
04-09;05-09;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
03-09;04-09;NORSK RESTAURAN;BERGEN;;0,00;250,00
03-09;04-09;VIPPS*ERLEND AARSAND;OSLO;;0,00;150,00
03-09;04-09;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
02-09;04-09;BUNNPRIS NYG$RD;BERGEN;;0,00;34,00
02-09;04-09;KIWI 803 KRONST;BERGEN;;0,00;710,04
01-09;04-09;SIBKAFE HIBKRON;BERGEN;;0,00;71,00
01-09;04-09;KIWI 803 KRONST;BERGEN;;0,00;124,13
31-08;04-09;KIWI 803 KRONST;BERGEN;;0,00;200,40
26-08;28-08;KIWI 803 KRONST;BERGEN;;0,00;16,90
26-08;28-08;KIWI 803 KRONST;BERGEN;;0,00;241,18
22-08;24-08;KIWI 803 KRONST;BERGEN;;0,00;285,96
22-08;23-08;AKADEMIKA HVL;BERGEN;;0,00;70,00
21-08;23-08;KIWI 803 KRONST;BERGEN;;0,00;36,90
21-08;23-08;KIWI 865 KRONST;BERGEN;;0,00;30,94
21-08;22-08;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;89,60
19-08;21-08;BUNNPRIS TORGGA;BERGEN;;0,00;103,40
19-08;21-08;BUNNPRIS TORGGA;BERGEN;;0,00;117,80
18-08;21-08;MENY SLETTEN;BERGEN;;0,00;88,00
18-08;21-08;KIWI 803 KRONST;BERGEN;;0,00;281,60
18-08;21-08;MENY OASEN BERG;FYLLINGSDALEN;;0,00;20,00
18-08;21-08;AKADEM.KVARTER;BERGEN;;0,00;50,00
18-08;21-08;VINMONOPOLET;FYLLINGSDALEN;;0,00;492,90
17-08;21-08;AKADEM.KVARTER;BERGEN;;0,00;50,00
17-08;21-08;KIWI 803 KRONST;BERGEN;;0,00;507,70
17-08;21-08;REMA LARS HILLE;BERGEN;;0,00;12,90
17-08;18-08;FORUM SCENE;BERGEN;;0,00;90,00
17-08;18-08;SIBKAFE HIBKRON;BERGEN;;0,00;42,00
16-08;18-08;KIWI 803 KRONST;BERGEN;;0,00;119,10
15-08;17-08;HEIDIS BIER BAR;BERGEN;;0,00;119,00
15-08;17-08;KIWI 865 KRONST;BERGEN;;0,00;28,80
15-08;17-08;HEIDIS BIER BAR;BERGEN;;0,00;1 080,00
15-08;16-08;EXTRA HAKONSGATEN;BERGEN;;0,00;497,60
15-08;15-08;VIPPS*HAKON MYDLAND;OSLO;;0,00;100,00
15-08;15-08;TIKKIO.COM;GISKE;;0,00;623,00
14-08;16-08;KIWI 803 KRONST;BERGEN;;0,00;758,30
14-08;15-08;KRONBAR;BERGEN;;0,00;50,00
14-08;15-08;KRONBAR;BERGEN;;0,00;52,00
14-08;15-08;KRONBAR;BERGEN;;0,00;50,00
13-08;14-08;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
13-08;14-08;VIPPS*HAKON MYDLAND;OSLO;;0,00;260,00
12-08;14-08;TIK CAF± & REST;OERSTA;;0,00;20,00
12-08;14-08;TIK CAF± & REST;OERSTA;;0,00;20,00
12-08;14-08;WEORDER;OSLO;;0,00;79,00
12-08;14-08;WEORDER;OSLO;;0,00;303,00
12-08;14-08;AANDAHLS ORSTA;ORSTA;;0,00;1 300,00
11-08;14-08;KIWI 846 MEIERI;OERSTA;;0,00;97,55
10-08;11-08;TIK CAF± & REST;OERSTA;;0,00;149,00
09-08;10-08;DET LILLE NAPOL;@RSTA;;0,00;159,00
