Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd)
Svalbard Lufthavn;SN99840;09.1898;3,8
Svalbard Lufthavn;SN99840;10.1898;-5,2
Svalbard Lufthavn;SN99840;11.1898;-11
Svalbard Lufthavn;SN99840;12.1898;-16,4
Svalbard Lufthavn;SN99840;01.1899;-14,8
Svalbard Lufthavn;SN99840;02.1899;-20,7
Svalbard Lufthavn;SN99840;03.1899;-23,1
Svalbard Lufthavn;SN99840;04.1899;-15,6
Svalbard Lufthavn;SN99840;05.1899;-6,7
Svalbard Lufthavn;SN99840;06.1899;4
Svalbard Lufthavn;SN99840;07.1899;8,2
Svalbard Lufthavn;SN99840;08.1899;5,6
Svalbard Lufthavn;SN99840;09.1899;2,7
Svalbard Lufthavn;SN99840;10.1899;-9,8
Svalbard Lufthavn;SN99840;11.1899;-12
Svalbard Lufthavn;SN99840;12.1899;-9,5
Svalbard Lufthavn;SN99840;01.1900;-7,7
Svalbard Lufthavn;SN99840;02.1900;-21,2
Svalbard Lufthavn;SN99840;03.1900;-22,8
Svalbard Lufthavn;SN99840;04.1900;-12,8
Svalbard Lufthavn;SN99840;05.1900;-5,7
Svalbard Lufthavn;SN99840;06.1900;3,6
Svalbard Lufthavn;SN99840;07.1900;4,6
Svalbard Lufthavn;SN99840;08.1900;4,2
Svalbard Lufthavn;SN99840;09.1900;-1
Svalbard Lufthavn;SN99840;10.1900;-6,7
Svalbard Lufthavn;SN99840;11.1900;-13,7
Svalbard Lufthavn;SN99840;12.1900;-18,2
Svalbard Lufthavn;SN99840;01.1901;-11,2
Svalbard Lufthavn;SN99840;02.1901;-26,6
Svalbard Lufthavn;SN99840;03.1901;-17,2
Svalbard Lufthavn;SN99840;04.1901;-11,5
Svalbard Lufthavn;SN99840;05.1901;-5,8
Svalbard Lufthavn;SN99840;06.1901;3,2
Svalbard Lufthavn;SN99840;07.1901;6,1
Svalbard Lufthavn;SN99840;08.1901;4,5
Svalbard Lufthavn;SN99840;09.1901;0,8
Svalbard Lufthavn;SN99840;10.1901;-5,7
Svalbard Lufthavn;SN99840;11.1901;-18,5
Svalbard Lufthavn;SN99840;12.1901;-9,9
Svalbard Lufthavn;SN99840;01.1902;-19,2
Svalbard Lufthavn;SN99840;02.1902;-22,3
Svalbard Lufthavn;SN99840;03.1902;-16,3
Svalbard Lufthavn;SN99840;04.1902;-9,9
Svalbard Lufthavn;SN99840;05.1902;-5,9
Svalbard Lufthavn;SN99840;06.1902;0,9
Svalbard Lufthavn;SN99840;07.1902;3,9
Svalbard Lufthavn;SN99840;08.1902;4,2
Svalbard Lufthavn;SN99840;09.1902;-2,5
Svalbard Lufthavn;SN99840;10.1902;-7,8
Svalbard Lufthavn;SN99840;11.1902;-12,4
Svalbard Lufthavn;SN99840;12.1902;-14,3
Svalbard Lufthavn;SN99840;01.1903;-15,6
Svalbard Lufthavn;SN99840;02.1903;-19,8
